speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
comnig,Common Nighthawk,Chordeiles minor,L38527359,4724 Virginia,2025-06-18 21:49,1.0,41.9669497,-87.6991656,True,False,True,S251882640,
houspa,House Sparrow,Passer domesticus,L40927552,Home,2025-06-18 19:14,5.0,42.078816,-87.943196,True,False,True,S251857372,N
coohaw,Cooper's Hawk,Astur cooperii,L4493848,5400 South Christiana,2025-06-18 18:38,1.0,41.7953252,-87.7072967,True,False,True,S252039203,
wooduc,Wood Duck,Aix sponsa,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
mallar3,Mallard,Anas platyrhynchos,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
chiswi,Chimney Swift,Chaetura pelagica,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,3.0,41.7857131,-87.5829649,True,False,False,S251877246,
rthhum,Ruby-throated Hummingbird,Archilochus colubris,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
ribgul,Ring-billed Gull,Larus delawarensis,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,5.0,41.7857131,-87.5829649,True,False,False,S251877246,
caster1,Caspian Tern,Hydroprogne caspia,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,2.0,41.7857131,-87.5829649,True,False,False,S251877246,
doccor,Double-crested Cormorant,Nannopterum auritum,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
greegr,Great Egret,Ardea alba,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
wilfly,Willow Flycatcher,Empidonax traillii,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,2.0,41.7857131,-87.5829649,True,False,False,S251877246,
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
treswa,Tree Swallow,Tachycineta bicolor,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,1.0,41.7857131,-87.5829649,True,False,False,S251877246,
purmar,Purple Martin,Progne subis,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,4.0,41.7857131,-87.5829649,True,False,False,S251877246,
cedwax,Cedar Waxwing,Bombycilla cedrorum,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,2.0,41.7857131,-87.5829649,True,False,False,S251877246,
yelwar,Yellow Warbler,Setophaga petechia,L152740,"Jackson Park, Chicago--Wooded Island/Bobolink Meadow area",2025-06-18 18:10,4.0,41.7857131,-87.5829649,True,False,False,S251877246,
rocpig,Rock Pigeon,Columba livia,L152691,"Lincoln Park, Chicago--North Pond",2025-06-18 17:27,16.0,41.9283,-87.637,True,False,False,S251844102,N
norcar,Northern Cardinal,Cardinalis cardinalis,L152691,"Lincoln Park, Chicago--North Pond",2025-06-18 17:27,1.0,41.9283,-87.637,True,False,False,S251844102,
grnher,Green Heron,Butorides virescens,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,1.0,42.007636,-87.8646934,True,False,False,S251838848,
norfli,Northern Flicker,Colaptes auratus,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,1.0,42.007636,-87.8646934,True,False,False,S251838848,
warvir,Warbling Vireo,Vireo gilvus,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,2.0,42.007636,-87.8646934,True,False,False,S251838848,
blujay,Blue Jay,Cyanocitta cristata,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,1.0,42.007636,-87.8646934,True,False,False,S251838848,
barswa,Barn Swallow,Hirundo rustica,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,1.0,42.007636,-87.8646934,True,False,False,S251838848,
cliswa,Cliff Swallow,Petrochelidon pyrrhonota,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,1.0,42.007636,-87.8646934,True,False,False,S251838848,
bnhcow,Brown-headed Cowbird,Molothrus ater,L108497,Axehead Lake/Chippewa Woods,2025-06-18 17:25,4.0,42.007636,-87.8646934,True,False,False,S251838848,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L3780717,Canal Shores Golf Course,2025-06-18 17:17,1.0,42.0630062,-87.6872545,True,False,False,S251846061,
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L3780717,Canal Shores Golf Course,2025-06-18 17:17,3.0,42.0630062,-87.6872545,True,False,False,S251846061,
grycat,Gray Catbird,Dumetella carolinensis,L3780717,Canal Shores Golf Course,2025-06-18 17:17,2.0,42.0630062,-87.6872545,True,False,False,S251846061,
houfin,House Finch,Haemorhous mexicanus,L3780717,Canal Shores Golf Course,2025-06-18 17:17,1.0,42.0630062,-87.6872545,True,False,False,S251846061,N
killde,Killdeer,Charadrius vociferus,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",2025-06-18 17:05,1.0,41.9633833,-87.6344204,True,False,False,S251933687,
pipplo,Piping Plover,Charadrius melodus,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",2025-06-18 17:05,2.0,41.9633833,-87.6344204,True,False,False,S251933687,
sposan,Spotted Sandpiper,Actitis macularius,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",2025-06-18 17:05,2.0,41.9633833,-87.6344204,True,False,False,S251933687,
amhgul1,American Herring Gull,Larus smithsonianus,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",2025-06-18 17:05,3.0,41.9633833,-87.6344204,True,False,False,S251933687,
banswa,Bank Swallow,Riparia riparia,L161180,"Montrose Point Bird Sanctuary, Lincoln Park, Chicago",2025-06-18 17:05,4.0,41.9633833,-87.6344204,True,False,False,S251933687,
cangoo,Canada Goose,Branta canadensis,L2101032,"Lake Opeka, Des Plaines",2025-06-18 17:00,20.0,42.0117176,-87.8957856,True,False,False,S251832272,
grbher3,Great Blue Heron,Ardea herodias,L12039185,Orland Park Nature Center,2025-06-18 16:25,1.0,41.6383988,-87.852993,True,False,False,S252936901,
osprey,Osprey,Pandion haliaetus,L12039185,Orland Park Nature Center,2025-06-18 16:25,1.0,41.6383988,-87.852993,True,False,False,S252936901,
amecro,American Crow,Corvus brachyrhynchos,L20864270,"Burnham Park--S Shore Drive near Burnham Playground (41.7970663, -87.5815299)",2025-06-18 15:59,1.0,41.7970663,-87.5815299,True,False,True,S251878229,
bkcchi,Black-capped Chickadee,Poecile atricapillus,L20864270,"Burnham Park--S Shore Drive near Burnham Playground (41.7970663, -87.5815299)",2025-06-18 15:59,1.0,41.7970663,-87.5815299,True,False,True,S251878229,
dowwoo,Downy Woodpecker,Dryobates pubescens,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
tuftit,Tufted Titmouse,Baeolophus bicolor,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
whbnut,White-breasted Nuthatch,Sitta carolinensis,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
houwre,Northern House Wren,Troglodytes aedon,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
amegfi,American Goldfinch,Spinus tristis,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
chispa,Chipping Sparrow,Spizella passerina,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
balori,Baltimore Oriole,Icterus galbula,L15078099,"Central Park, Skokie US-IL 42.05103, -87.72019",2025-06-18 15:56,1.0,42.05103,-87.720193,True,False,True,S251821489,
turvul,Turkey Vulture,Cathartes aura,L47979938,"Tri-State Tollway, Alsip US-IL 41.65173, -87.72519",2025-06-18 12:04,1.0,41.651731,-87.72519,True,False,True,S252007019,
rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,2.0,41.6725393,-87.8822067,True,False,False,S251865381,
pilwoo,Pileated Woodpecker,Dryocopus pileatus,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,1.0,41.6725393,-87.8822067,True,False,False,S251865381,
acafly,Acadian Flycatcher,Empidonax virescens,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,1.0,41.6725393,-87.8822067,True,False,False,S251865381,
veery,Veery,Catharus fuscescens,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,4.0,41.6725393,-87.8822067,True,False,False,S251865381,
woothr,Wood Thrush,Hylocichla mustelina,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,2.0,41.6725393,-87.8822067,True,False,False,S251865381,
louwat,Louisiana Waterthrush,Parkesia motacilla,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,1.0,41.6725393,-87.8822067,True,False,False,S251865381,
hoowar,Hooded Warbler,Setophaga citrina,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,1.0,41.6725393,-87.8822067,True,False,False,S251865381,
cerwar,Cerulean Warbler,Setophaga cerulea,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,1.0,41.6725393,-87.8822067,True,True,False,S251865381,
scatan,Scarlet Tanager,Piranga olivacea,L124174,Cap Sauers Holdings Forest Preserve,2025-06-18 10:53,2.0,41.6725393,-87.8822067,True,False,False,S251865381,
